timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk,label
1778049973.9256582,beam,68.87,1685,3,0.0,0.0,-0.81,-0.892,normal
1778050924.32361,beam,134.41,3610,3,0.0,0.0,-1.486,-17.746,racing
1778050246.2317996,beam,60.63,1752,3,14.29,0.0,-0.51,0.732,normal
1778049979.665712,beam,58.77,1603,3,8.33,0.0,-0.649,-0.78,normal
1778050834.4340532,beam,99.17,3053,3,81.25,0.0,0.646,-0.385,racing
1778050788.3099434,beam,88.79,2556,3,23.81,0.0,0.043,-0.683,racing
1778050275.864462,beam,59.35,1730,3,15.08,0.0,-0.307,-0.175,normal
1778050048.5317106,beam,42.27,1679,3,21.43,0.0,-0.202,1.376,normal
1778050045.9139476,beam,45.22,1691,3,21.43,0.0,-0.455,-0.186,normal
1778050528.440018,beam,136.79,3913,3,100.0,0.0,0.393,-0.468,racing
1778050531.3798385,beam,139.83,3979,3,91.41,0.0,0.363,-0.344,racing
1778049944.9142106,beam,79.27,2293,3,23.81,0.0,0.062,0.525,normal
1778050185.9358325,beam,60.16,1505,3,1.98,0.0,-0.613,-0.488,normal
1778049975.8716831,beam,65.79,1816,3,9.52,0.0,-0.244,-0.332,normal
1778050716.5778909,beam,118.75,5145,2,100.0,0.0,0.73,-0.76,racing
1778050051.0509372,beam,41.29,1672,3,21.43,0.0,0.015,-0.339,normal
1778050938.607699,beam,99.15,4165,2,0.0,0.0,-1.666,-19.629,racing
1778050653.2652934,beam,124.27,3546,3,55.08,0.0,0.244,0.805,racing
1778050264.2299666,beam,58.9,1708,3,14.29,0.0,0.579,0.88,normal
1778050289.9712577,beam,57.4,1818,3,20.63,0.0,0.159,0.578,normal
1778049988.2384098,beam,53.28,1874,3,25.4,0.0,0.264,0.237,normal
1778049868.5300074,beam,91.24,2626,3,30.16,0.0,0.133,0.5,normal
1778050107.7823908,beam,88.31,2546,3,28.57,0.0,0.049,-0.228,normal
1778050979.3271215,beam,107.33,3165,3,59.77,0.0,0.419,1.189,racing
1778049966.8374407,beam,91.29,2565,3,22.62,0.0,-0.086,0.578,normal
1778050604.6106374,beam,86.64,2831,3,100.0,0.0,0.739,-0.875,racing
1778049981.099871,beam,56.03,1659,3,15.08,0.0,-0.419,-0.584,normal
1778050061.511816,beam,58.61,2256,3,44.44,0.0,0.975,1.883,normal
1778050973.7320232,beam,89.39,3992,2,98.83,0.0,1.223,-0.795,racing
1778050027.4903069,beam,87.83,2494,3,22.62,0.0,0.019,-0.67,normal
1778050966.7789097,beam,83.22,2958,3,64.45,0.0,0.248,-1.249,racing
1778049982.785467,beam,53.77,1630,3,15.08,0.0,-0.356,0.816,normal
1778050243.90257,beam,63.09,1803,3,14.29,0.0,-0.315,-1.54,normal
1778050231.2397418,beam,70.57,1961,3,12.7,0.0,-0.235,-0.006,normal
1778050142.8595495,beam,75.66,1918,3,0.0,1.59,-0.938,-0.238,normal
1778049895.2532816,beam,59.13,1824,3,21.43,0.0,0.235,3.417,normal
1778050541.0921605,beam,148.07,4134,3,58.59,0.0,0.059,-0.058,racing
1778049841.2157214,beam,77.81,2336,3,30.55,0.0,0.231,0.048,normal
1778050076.7918422,beam,79.83,2336,3,26.59,0.0,0.264,3.387,normal
